AccountID,BalanceStdDev
ACC10117,9308.031969002388
ACC10996,18946.73719884749
ACC11062,22572.552391898418
ACC11188,20160.417506337664
ACC11285,70126.82609708841
ACC11837,41574.24172296889
ACC12182,39413.8518881127
ACC12334,43584.668914223555
ACC13357,19418.026324051978
ACC15228,35711.11804210511
ACC15359,15440.020242317123
ACC15671,
ACC15925,27201.194576763275
ACC16241,26112.13993375043
ACC16664,52068.39269913432
ACC17688,25212.56228809473
ACC18057,27875.043837498888
ACC18140,36772.76468960934
ACC18177,
ACC19156,61272.53729098106
ACC19178,31940.426031957908
ACC20297,28317.30748073864
ACC21264,45378.21044137075
ACC21429,18456.623544457307
ACC21719,27789.75253073379
ACC21878,57999.394285622824
ACC22036,18358.827295102976
ACC22255,29966.35284212246
ACC22799,37128.31685014861
ACC23736,35022.3740550225
ACC23985,15978.85930789672
ACC24070,27640.35591610263
ACC24508,23697.14713020593
ACC24880,26492.21026739782
ACC24981,9879.231790061534
ACC25132,30396.327669865303
ACC25811,31623.402090382107
ACC26026,30528.336297352686
ACC26940,46040.779617489214
ACC26956,21039.976347263044
ACC26973,41351.600636190946
ACC28154,
ACC28292,32792.258466565465
ACC28295,45966.04223083133
ACC28305,20518.013603899566
ACC28612,38269.497450712355
ACC29007,30936.308706810447
ACC29231,21947.219693994397
ACC29356,29664.21389680637
ACC29396,32599.210372766924
ACC29477,5962.494114700246
ACC29646,70075.27075592794
ACC30146,37833.22763060426
ACC30787,30963.719796846446
ACC30852,18050.000769141123
ACC31539,27344.662557692067
ACC31902,42088.76404981718
ACC32212,
ACC32627,41563.63801469746
ACC32890,42440.780859479775
ACC33287,18958.55822713316
ACC34119,40661.71619928817
ACC34431,20034.376669397578
ACC34568,25067.551774853622
ACC34821,30369.224600322013
ACC35163,20481.36153060146
ACC35419,13128.589382682627
ACC36079,31071.251868654635
ACC37688,11157.616515515467
ACC38559,47171.94376078285
ACC39161,23999.432234840388
ACC39482,25157.181168051156
ACC39500,27674.947442937388
ACC39529,9666.042459170729
ACC39544,39494.20795843344
ACC40939,22668.090001204866
ACC40952,27723.321735826117
ACC41829,57470.433320504555
ACC42467,52980.93287128684
ACC42710,27786.643631872463
ACC42903,23473.5638001511
ACC43309,31227.31803384391
ACC43771,
ACC45101,3430.177823963065
ACC45521,45454.36114004286
ACC45907,57808.22011905277
ACC45951,11564.625136360877
ACC45968,47312.96929262042
ACC46655,31667.929381379
ACC46953,31232.41662309913
ACC47099,17997.316859526094
ACC48303,
ACC48501,56970.875668030436
ACC49140,47345.62698867817
ACC49180,44373.53573955165
ACC49364,46508.108487788624
ACC49395,19186.177264592996
ACC49422,31043.279321835184
ACC49774,28039.334809536384
ACC50439,38999.67733718546
ACC50817,26965.31071160403
ACC51009,43448.176898261205
ACC51200,
ACC51593,11272.50736179088
ACC51971,30834.577520828334
ACC52131,
ACC52650,9187.43663311879
ACC53466,29743.186193153164
ACC53865,42751.01029193059
ACC54589,38553.575388525394
ACC55331,73097.16403777387
ACC55729,23507.616266458524
ACC57516,28831.878081964027
ACC57597,44176.471665648336
ACC57700,29085.938607250348
ACC57872,5628.31051248263
ACC58078,30691.557183856472
ACC58667,20403.3527557875
ACC60432,22688.73043970683
ACC61827,
ACC61926,29112.9794725777
ACC62446,
ACC62809,
ACC64022,24941.593979860587
ACC64393,
ACC64785,31856.566293254986
ACC65144,46607.178828195676
ACC65545,13213.518075844722
ACC66086,39224.30348118881
ACC66190,30429.00102619415
ACC67701,16624.684193647263
ACC67713,1302.1229954194032
ACC69323,32199.684828238736
ACC70314,32785.863977394016
ACC70460,36970.34067723737
ACC70741,33431.05786912178
ACC71388,29511.670195063016
ACC71426,
ACC71938,36345.996324904925
ACC72197,55398.46661932977
ACC73104,25267.964107957665
ACC74631,50452.05408755751
ACC74656,8609.752680981626
ACC75675,34979.36182012746
ACC75767,21817.21156990325
ACC76549,31651.42759067136
ACC76597,43448.326227574784
ACC76699,66755.17876634107
ACC77533,35157.88110988344
ACC77592,70420.09953043409
ACC77638,29635.63798483427
ACC77773,30732.04480377832
ACC78089,20913.181735651426
ACC78178,48160.08085673639
ACC78581,33413.63673557517
ACC78589,52742.256943737426
ACC80131,24523.024293581682
ACC80442,59929.72644884953
ACC81631,
ACC82298,13026.056611907687
ACC82381,29135.57703661792
ACC82926,26236.02599575138
ACC82947,40488.56870435239
ACC83005,27192.208941222372
ACC83269,7034.3944060289205
ACC83581,41005.50672809681
ACC83848,32796.08298905587
ACC86784,
ACC87006,13687.165674162961
ACC87602,28486.775836643767
ACC88252,18929.868778148066
ACC88286,31799.483002522717
ACC88449,33346.35550733235
ACC88516,10798.46341197168
ACC89098,
ACC90887,32497.170107590853
ACC91220,60054.28725772956
ACC91723,49309.794891515354
ACC92104,8052.688902862881
ACC92360,28016.579321078636
ACC92558,25979.553923766336
ACC94203,37151.922880593134
ACC94242,48890.345437251184
ACC94907,
ACC95164,26249.211028301845
ACC95774,32702.46397829332
ACC96277,24056.58118478499
ACC96868,5117.148398640218
ACC97225,15387.749241892856
ACC97411,15034.842456411528
ACC99117,37380.402970001276
ACC99409,37819.02910113944
ACC99549,33515.976772071794
