TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths,Month,Year,TransactionCategory,GapDays
76,CUST6735,ACC10117,Loan,Payment,Credit Card,Firm D,North,Manager 1,2023-11-08,83158.65148,110937.5741,0.609497243,687,236,2023-11,2023,Debit,160.0
112,CUST8091,ACC10117,Loan,Deposit,Personal Loan,Firm A,West,Manager 2,2024-04-06,54168.90233,97023.17014,0.720880342,400,148,2024-04,2024,Credit,150.0
72,CUST7002,ACC10117,Savings,Deposit,Mutual Fund,Firm B,North,Manager 2,2024-06-22,60877.05837,89254.1245,0.495491287,586,93,2024-06,2024,Credit,77.0
72,CUST3041,ACC10996,Savings,Payment,Savings Account,Firm E,North,Manager 4,2023-10-16,77860.86889,66344.39469,0.67069081,667,232,2023-10,2023,Debit,272.0
64,CUST9038,ACC10996,Savings,Withdrawal,Personal Loan,Firm C,West,Manager 1,2024-01-01,70136.96717,25464.12779,0.579621582,797,217,2024-01,2024,Debit,74.0
41,CUST3006,ACC10996,Current,Withdrawal,Home Loan,Firm A,North,Manager 2,2024-06-21,37989.87644,53528.81451,0.495872766,665,104,2024-06,2024,Debit,172.0
49,CUST8155,ACC11062,Savings,Withdrawal,Mutual Fund,Firm A,West,Manager 1,2024-02-04,75764.39418,81908.52183,0.688226437,661,25,2024-02,2024,Debit,88.0
159,CUST7730,ACC11188,Credit,Deposit,Home Loan,Firm A,South,Manager 2,2023-11-07,20835.54635,86796.68031,0.501441808,816,168,2023-11,2023,Credit,195.0
99,CUST4584,ACC11285,Credit,Payment,Mutual Fund,Firm D,West,Manager 1,2024-03-30,88130.72313,-17751.21681,0.812134968,724,30,2024-03,2024,Debit,410.0
176,CUST8279,ACC11837,Credit,Transfer,Savings Account,Firm E,South,Manager 2,2024-05-22,46855.56943,33699.34953,0.00410499,714,12,2024-05,2024,Debit,456.0
110,CUST6350,ACC12182,Credit,Payment,Personal Loan,Firm A,East,Manager 1,2023-09-28,44400.42621,87156.82842,0.341698841,333,144,2023-09,2023,Debit,158.0
127,CUST7255,ACC12334,Credit,Payment,Personal Loan,Firm C,East,Manager 4,2023-10-31,27648.5,97733.64305,0.5197755,581,73,2023-10,2023,Debit,283.0
172,CUST2443,ACC12334,Savings,Payment,Savings Account,Firm C,Central,Manager 2,2024-02-04,49544.07692,19992.28895,0.670882753,758,18,2024-02,2024,Debit,88.0
131,CUST5916,ACC12334,Loan,Withdrawal,Savings Account,Firm E,South,Manager 2,2024-06-08,91472.13581,35311.92158,0.480789368,804,155,2024-06,2024,Debit,125.0
47,CUST8318,ACC13357,Loan,Transfer,Savings Account,Firm B,East,Manager 2,2023-04-26,107480.8425,84277.08547,0.202534086,434,63,2023-04,2023,Debit,99.0
127,CUST6029,ACC13357,Current,Transfer,Savings Account,Firm A,North,Manager 2,2023-09-26,80816.28559,69721.56267,0.70142634,836,121,2023-09,2023,Debit,98.0
60,CUST7994,ACC15228,Credit,Payment,Personal Loan,Firm B,West,Manager 4,2023-06-01,37429.61885,77285.30088,0.760971039,354,111,2023-06,2023,Debit,77.0
104,CUST8772,ACC15228,Savings,Withdrawal,Home Loan,Firm A,East,Manager 4,2023-08-06,68356.15626,145205.2998,0.256513405,715,41,2023-08,2023,Debit,66.0
86,CUST4769,ACC15228,Loan,Withdrawal,Credit Card,Firm D,North,Manager 2,2024-02-05,53733.31589,79515.71725,0.254268022,359,106,2024-02,2024,Debit,105.0
