AccountID,LargeWithdrawalCount
ACC19178,2
ACC45521,2
ACC49140,2
ACC35163,2
ACC34568,2
ACC65144,2
ACC51593,2
ACC54589,2
ACC21429,1
ACC12334,1
ACC17688,1
ACC20297,1
ACC21264,1
ACC29396,1
ACC29356,1
ACC26940,1
ACC25811,1
ACC24981,1
ACC23736,1
ACC22799,1
ACC34821,1
ACC39529,1
ACC39500,1
ACC42710,1
ACC40939,1
ACC43771,1
ACC39161,1
ACC33287,1
ACC30852,1
ACC50439,1
ACC49422,1
ACC49180,1
ACC57700,1
ACC61827,1
ACC66190,1
ACC69323,1
ACC71388,1
ACC77592,1
ACC78589,1
ACC80131,1
ACC82926,1
ACC82947,1
ACC88286,1
ACC91723,1
ACC94203,1
