AccountID,TransactionFrequency,ActivityLevel,AccountBalance,BalanceSegment
ACC10996,5,Medium,56982.152538,Low Balance
ACC12334,5,Medium,58469.937674,Low Balance
ACC16241,5,Medium,55945.625702000005,Low Balance
ACC19156,4,Medium,64046.13065,Low Balance
ACC21264,5,Medium,62025.1904298,Low Balance
ACC24880,4,Medium,32516.72916075,Low Balance
ACC26940,5,Medium,59696.385565200006,Low Balance
ACC29396,6,Medium,64504.124585000005,Low Balance
ACC30146,6,Medium,49391.925606666664,Low Balance
ACC39529,5,Medium,64523.081388000006,Low Balance
ACC40939,6,Medium,65018.94989333333,Low Balance
ACC42467,4,Medium,47684.1596375,Low Balance
ACC46655,8,High,57869.98755,Low Balance
ACC49140,6,Medium,50181.1776765,Low Balance
ACC49364,5,Medium,65321.994474399995,Low Balance
ACC49422,11,High,62362.26661027272,Low Balance
ACC50439,5,Medium,50199.215838,Low Balance
ACC54589,10,High,54155.2821353,Low Balance
ACC55331,5,Medium,54330.17625619999,Low Balance
ACC55729,5,Medium,52671.300914,Low Balance
ACC57516,5,Medium,65404.621693999994,Low Balance
ACC57597,5,Medium,57991.294519999996,Low Balance
ACC58667,4,Medium,64543.177655,Low Balance
ACC61926,5,Medium,64285.89928,Low Balance
ACC66086,6,Medium,46633.16137083334,Low Balance
ACC70460,4,Medium,33835.4031425,Low Balance
ACC71938,4,Medium,39744.702437500004,Low Balance
ACC72197,4,Medium,52246.542929999996,Low Balance
ACC74631,4,Medium,44700.284518249995,Low Balance
ACC76549,4,Medium,53827.231367500004,Low Balance
ACC77638,4,Medium,61707.391677499996,Low Balance
ACC77773,7,Medium,48124.0534,Low Balance
ACC90887,7,Medium,65755.36488714286,Low Balance
ACC92558,9,High,50319.279200000004,Low Balance
ACC99117,5,Medium,63718.264758,Low Balance
ACC99549,4,Medium,61264.76889,Low Balance
