Month,TransactionAmount_Credit,TransactionAmount_Debit,NetTransaction
2023-01,569469.35502,2216844.13689,-1647374.78187
2023-02,521830.583465,2009549.4838,-1487718.9003350001
2023-03,342372.90566,1159596.352672,-817223.447012
2023-04,146580.61261,1551605.67566,-1405025.06305
2023-05,568697.316343,2568690.509669,-1999993.1933259997
2023-06,488374.11434,2415617.16376,-1927243.04942
2023-07,419545.00862,1765712.44683,-1346167.43821
2023-08,547258.5594433,2359400.3659220003,-1812141.8064787001
2023-09,856750.21176,1643811.956694,-787061.744934
2023-10,582604.365887,2932289.124417,-2349684.75853
2023-11,879504.33527,2455720.678813,-1576216.343543
2023-12,478596.05478,912599.516467,-434003.461687
2024-01,598538.40713,994547.781719,-396009.374589
2024-02,442611.098378,1997540.406855,-1554929.3084769999
2024-03,774311.99071,1987439.31043,-1213127.31972
2024-04,674861.450611,1019434.748522,-344573.2979110001
2024-05,342374.82256299997,1777814.351973,-1435439.52941
2024-06,452481.432102,1501092.746172,-1048611.3140699998
