TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths,Month,Year,TransactionCategory,GapDays
99,CUST4584,ACC11285,Credit,Payment,Mutual Fund,Firm D,West,Manager 1,2024-03-30,88130.72313,-17751.21681,0.812134968,724,30,2024-03,2024,Debit,410.0
59,CUST4855,ACC19156,Credit,Payment,Personal Loan,Firm B,North,Manager 3,2023-10-26,56937.62473,-9649.97598,0.310959726,688,11,2023-10,2023,Debit,20.0
165,CUST8279,ACC21264,Credit,Withdrawal,Personal Loan,Firm D,South,Manager 1,2023-02-14,81999.94967,-8247.315181,0.531051394,624,239,2023-02,2023,Debit,
171,CUST5545,ACC24880,Savings,Deposit,Mutual Fund,Firm A,North,Manager 2,2024-03-28,44410.00366,-5199.930807,0.591813094,495,156,2024-03,2024,Credit,154.0
14,CUST5255,ACC32890,Credit,Deposit,Credit Card,Firm B,West,Manager 4,2023-01-15,40011.57645,-800.69993,0.130483361,829,64,2023-01,2023,Credit,
185,CUST5428,ACC41829,Loan,Transfer,Home Loan,Firm D,West,Manager 3,2023-01-08,23800.71917,-2531.437176,0.31321369,765,101,2023-01,2023,Debit,
96,CUST8091,ACC42467,Loan,Transfer,Personal Loan,Firm C,South,Manager 4,2023-10-21,15062.59519,-30766.90697,0.404255506,375,39,2023-10,2023,Debit,187.0
165,CUST5894,ACC45521,Savings,Deposit,Home Loan,Firm E,West,Manager 4,2023-10-21,73812.3266,-9207.916702,0.267379675,498,167,2023-10,2023,Credit,27.0
155,CUST8660,ACC49140,Current,Withdrawal,Personal Loan,Firm E,West,Manager 4,2023-10-31,46844.48311,-1065.037291,0.499742512,647,171,2023-10,2023,Debit,10.0
156,CUST3378,ACC49364,Loan,Deposit,Personal Loan,Firm E,South,Manager 1,2023-07-06,38320.65052,-2614.910348,0.578094008,564,12,2023-07,2023,Credit,35.0
103,CUST7887,ACC49422,Savings,Payment,Mutual Fund,Firm B,North,Manager 1,2023-01-02,26053.32965,-8103.107327,0.2027065,609,31,2023-01,2023,Debit,
48,CUST6082,ACC71938,Loan,Payment,Savings Account,Firm B,North,Manager 2,2024-03-05,109852.8031,-12493.95639,-0.000777933,529,118,2024-03,2024,Debit,97.0
141,CUST3810,ACC72197,Credit,Withdrawal,Home Loan,Firm E,West,Manager 4,2024-01-29,12927.6372,-14934.03449,0.305936409,836,236,2024-01,2024,Debit,172.0
9,CUST2109,ACC77592,Savings,Payment,Mutual Fund,Firm C,Central,Manager 1,2024-03-22,134330.679,-14999.18083,0.536947528,416,85,2024-03,2024,Debit,34.0
